STATE,COUNTY,POID,AICODE1,AICODE2,ai1,ai2,eco_mid,eco_end,hhc_mid,hhc_end,hhnc_mid,hhnc_end
3,23,4001,240010,,,,0.0,0.0,0.0,0.0,0.0,0.0
3,23,4001,61501,,,,0.0,0.0,0.0,0.0,0.0,0.0
3,23,4001,7401,,,,0.0,0.0,0.0,0.0,0.0,0.0
3,23,4001,9502,804208,,,0.0,0.0,0.0,0.0,0.0,0.0
3,23,4001,97801,,,,0.0,0.0,0.0,0.0,0.0,0.0
3,23,5001,24002,,0.000476190513684,,109.483372923,54.7416864615,0.0,0.0,0.0,0.0
3,23,5001,7401,,0.000178571442632,,0.0442334995893,0.0221167497947,2.59158718491e-10,2.98032526265e-09,0.0,0.0
3,23,5001,95010,804208,0.000119047628421,1.19047628421e-05,9631.42604175,4815.71302087,0.00282367211136,0.0324722292807,0.0,0.0
3,27,6001,61501,,,,0.0,0.0,0.0,0.0,0.0,0.0
3,27,9001,97801,,0.6,,8134.35772678,4067.17886339,14.2313063181,163.660022659,2.37026081162e-08,6.39970419137e-08
4,50,7001,24002,,,,0.0,0.0,0.0,0.0,0.0,0.0
4,50,7001,7401,,,,0.0,0.0,0.0,0.0,0.0,0.0
4,50,10001,9502,804208,0.0199999779538,0.00266666372717,0.689980483545,0.344990241772,1.1544408382e-10,1.32760696393e-09,0.0,0.0
