STATE,COUNTY,POID,AICODE1,AIAMT1_sum,AIAMT2_sum,AIAMT1_kg_sum,AIAMT2_kg_sum,AICODE2,yield,ai1,ai2,eco_mid,eco_end,hhc_mid,hhc_end,hhnc_mid,hhnc_end
3,23,4001,24002,5.2,,2.3586784,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
3,23,4001,61501,8.2,,3.7194544,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
3,23,4001,7401,3.5,,1.587572,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
3,23,4001,9502,3.0,0.4,1.360776,0.1814368,804208.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
3,23,4001,97801,2.8,,1.2700576,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
3,23,5001,24002,8.0,,3.628736,,,7620.345,0.000476190513684,,109.483372923,54.7416864615,0.0,0.0,0.0,0.0
3,23,5001,7401,3.0,,1.360776,,,7620.345,0.000178571442632,,0.0442334995893,0.0221167497947,2.59158718491e-10,2.98032526265e-09,0.0,0.0
3,23,5001,9502,2.0,0.2,0.907184,0.0907184,804208.0,7620.345,0.000119047628421,1.19047628421e-05,963.146706901,481.57335345,0.000282367211085,0.00324722292747,0.0,0.0
3,27,6001,61501,10.0,,4.53592,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
3,27,6001,97801,6.0,,2.721552,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
4,50,7001,24002,5.2,,2.3586784,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
4,50,7001,7401,3.5,,1.587572,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
4,50,7001,9502,6.0,0.8,2.721552,0.3628736,804208.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
